NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	Cancer	T.cells.proliferative	Mast.cells
A2M	1	1	119.738394632024	1	1	1	2487.95835126909	1778.47249116003	4276.21482142602	1	1	1	1	1
A2M-AS1	1	1	1	1	18.2967910472159	1	1	1	1	1	1	1	1	14.5751274266277
ABAT	1	1	1	1	1	1	1	1	1	1	1	64.5721330520949	1	1
ABCA1	1	1	126.823117274148	1	1	15.1413143288902	22.29873327463	1	69.5701597570808	1	1	16.2457576283654	1	184.783163659428
ABCA3	1	1	1	1	1	1	1	1	1	1	1	191.358739653549	1	1
ABCA6	1	1	1	1	1	1	1	1	89.0385122787977	1	1	1	1	1
ABCA7	1	1	12.5471326045435	16.6122442117313	1	1	1	1	1	15.7518848232195	1	40.0431309183759	1	1
ABCA8	1	1	1	1	1	1	1	1	126.14216483906	1	1	1	1	1
ABCB1	30.2597676774558	1	1	20.0864007440272	25.1239574449662	1	1	23.1293323336969	1	1	1	1	16.4503203287406	14.9974393664123
ABCB9	1	1	1	1	1	1	1	1	1	21.9105087509237	1	1	1	1
ABCC3	1	1	25.9020245414775	1	1	1	1	1	14.4066903533203	1	1	116.560972520699	1	1
ABCC4	1	1	14.2054793678743	1	1	1	1	37.0533949704327	1	17.8316535291169	1	13.4177401519157	1	101.642733668578
ABCC6	1	1	1	1	1	1	1	1	13.4332711467076	1	1	121.935257946703	1	1
ABCC9	1	1	1	1	1	1	104.103898386827	1	21.8589841838242	1	1	1	1	1
ABHD11	1	1	1	1	1	1	1	1	1	20.7359389228644	1	86.7497347288879	16.315340520784	1
ABHD17B	1	1	1	1	1	1	1	1	1	1	1	1	1	18.3957846743095
ABHD6	1	1	1	1	1	1	1	56.2202339109867	1	1	1	1	11.0634998346506	1
ABI3	83.244620156047	38.2648140457604	66.3444746960293	25.7741816615647	125.05618285548	22.3894411235973	1	88.6268093992958	1	1	21.4335621330484	1	74.0211474671938	1
ABI3BP	1	1	1	1	1	1	22.7954475435508	1	198.192919696953	1	1	1	1	1
ABL2	1	1	190.881698108793	1	1	1	114.505897957852	50.9400777851861	82.290898184186	14.6424407900099	1	19.1542279502303	1	62.1969723578702
ABLIM1	83.3435292519844	41.9522531277847	1	94.1430022513449	40.201097854873	52.8735827542687	1	41.0658393731972	27.6831156100126	14.6185303851199	58.8178270566295	1	36.2697644648938	1
ABO	1	1	1	1	1	1	1	1	1	1	1	62.9145661303865	1	1
AC004540.2	1	1	1	1	1	1	1	69.2782352614895	1	1	1	1	1	1
AC004585.1	1	1	1	17.8561032843059	1	1	1	1	1	1	72.0173546286331	1	15.6505775426317	1
AC004832.6	1	1	1	1	25.0972784050915	1	1	1	1	1	1	1	1	1
AC004865.2	1	1	1	1	49.2479751782786	1	1	1	1	1	15.4660560949026	1	1	1
AC004982.2	1	1	1	1	1	1	1	1	1	1	1	101.842193143154	1	1
AC005392.2	1	29.4426336421164	1	1	1	1	1	1	1	1	1	1	1	1
AC006369.1	29.8877380417178	1	1	37.7958834047218	42.3880169224027	1	1	1	1	1	13.7616400020748	1	1	1
AC007216.4	1	1	1	1	21.3503144018689	1	1	1	1	1	1	14.0800260985386	13.3815751399604	1
AC007405.3	1	1	1	1	1	1	1	1	1	1	1	156.984491178964	1	1
AC007569.1	1	1	1	1	1	1	1	1	1	99.3213202767697	1	1	1	1
AC008014.1	1	1	1	1	1	1	1	1	1	58.1251946733176	1	1	1	1
AC008105.3	1	23.3267413850759	1	1	1	1	1	1	1	1	21.5575287597774	1	14.0345644216584	1
AC008555.5	1	1	1	1	22.7130014420645	1	1	1	1	1	1	1	1	1
AC008764.8	1	1	1	1	16.0436531131809	1	1	1	1	1	1	1	1	1
AC010226.1	1	1	1	1	1	18.423803322746	1	1	24.6174103800437	19.8735017026264	1	1	1	1
AC010654.1	1	19.9425337232228	1	1	1	1	1	1	1	1	1	1	1	1
AC012236.1	1	1	1	1	1	1	1	1	1	282.968290126212	1	28.0943660498978	1	1
AC012306.2	1	1	1	1	14.4474374807428	1	1	1	1	1	1	1	1	1
AC012368.1	1	21.9139359584492	1	1	1	1	1	1	1	52.8721983764009	1	1	1	1
AC012615.1	13.9737467303163	1	1	1	38.3668618490038	1	1	1	1	1	15.6646038275955	1	1	1
AC012645.3	1	14.3360991798672	1	1	1	1	1	1	1	38.2402083134056	30.0724600806539	1	1	1
AC013264.1	1	1	1	21.4615526202158	1	1	1	1	1	1	19.0263678325728	1	1	1
AC016065.1	1	1	1	1	18.1655067239561	1	1	1	1	1	1	1	1	1
AC016831.5	1	15.6795434969896	30.5997620432129	22.8340828329422	1	1	1	1	1	15.2663760589111	1	1	16.25346551108	1
AC016831.7	49.3639527142038	36.5279773638814	14.3992437653069	69.569936766242	104.14699539887	1	1	1	1	1	29.2110036313131	1	1	1
AC017002.3	1	124.717069490894	1	1	1	1	17.6225865002518	1	11.9847055299125	1	56.8801655704075	1	22.3585459486482	1
AC018816.1	1	1	1	1	1	1	1	1	1	1	14.9638836309176	1	1	1
AC020659.1	1	1	1	1	19.6372215254549	1	1	1	1	1	1	1	1	1
AC020911.2	1	1	1	1	33.2323878290972	1	13.2090956375045	15.7827489155059	1	1	1	1	1	1
AC021188.1	1	15.0538714434481	1	1	17.3645861962058	1	1	1	1	1	1	1	1	1
AC022182.1	1	1	1	1	1	21.1992471246026	1	1	1	1	1	1	1	1
AC022706.1	40.3981290290521	14.0647616576233	1	19.0059597441637	30.0241813766818	1	1	1	1	1	1	1	21.3048793205741	1
AC025171.3	16.0984445335624	1	1	15.7209104772601	25.340109954551	1	1	1	1	1	1	1	1	1
AC026202.2	1	1	1	1	1	1	1	1	1	31.9602160401339	1	1	1	1
AC027097.1	1	1	1	1	1	26.2123581946402	1	1	1	1	1	1	1	1
AC044849.1	14.1069229257344	1	1	1	14.4297649535589	1	1	1	1	1	1	1	1	1
AC058791.1	1	26.5137672483523	1	18.4504307778011	1	1	1	1	1	1	1	1	1	1
AC073332.1	1	28.5438137196398	1	14.6237080071288	1	1	13.4883569324568	1	13.4539477618036	1	16.7482785575063	1	1	11.9058800389881
AC078883.1	1	1	1	1	1	1	1	1	1	132.127674420342	1	1	1	1
AC083880.1	1	1	1	1	20.9738099806486	1	12.1061797359395	1	1	1	1	1	13.3743796100264	1
AC087500.1	1	1	1	1	1	19.9747174265993	1	1	1	1	1	1	1	1
AC087623.2	1	1	1	1	1	1	1	1	1	47.5773268751423	15.5603373211754	1	1	1
AC087623.3	1	1	1	1	30.0123361006227	1	1	1	1	1	1	1	1	1
AC090152.1	22.3666594683108	28.7722683819659	1	1	45.0417604102752	1	1	1	1	1	38.6934170557775	1	35.7938627502036	1
AC091057.6	1	1	1	1	1	1	1	1	1	1	1	1	38.7063472118699	1
AC092755.2	1	1	1	1	15.6053804143171	1	1	1	1	1	1	1	1	1
AC093323.1	1	1	1	1	29.8535055312409	1	1	1	13.6432090447296	1	1	1	22.5100722706569	1
AC093523.1	1	1	1	1	1	1	1	1	1	1	1	1	1	53.6683045461795
AC097534.2	1	1	1	1	1	1	22.7567268192577	1	1	1	15.6215631026452	1	10.8926774687281	1
AC103724.3	1	1	1	1	19.6795945972105	1	1	1	1	1	1	1	1	1
AC104699.1	1	1	1	1	1	35.5546729225452	1	1	1	105.48534039889	1	1	1	1
AC105020.6	1	1	1	1	19.5269188497711	1	1	1	1	1	1	1	1	1
AC119396.1	1	1	1	18.8891834484148	23.4427644732419	66.6411056631853	1	1	1	1	1	1	1	1
AC120193.1	1	1	1	1	1	38.8060528618297	1	1	1	1	1	1	1	1
AC124016.1	1	1	1	1	34.2307903417698	1	1	1	1	1	1	1	1	1
AC129507.4	1	1	1	1	1	1	1	1	1	1	1	67.456932423611	1	1
AC133644.2	1	34.2573864443082	1	1	1	1	1	1	1	1	1	1	1	1
AC136475.1	1	1	1	1	25.0010336512009	1	1	1	1	1	1	1	1	1
AC139530.1	1	1	1	1	17.6260819580707	1	1	1	1	1	1	1	1	1
AC139720.1	1	1	1	1	1	1	1	1	1	1	16.1732876212274	1	1	1
