NAME	CD4.memory.activated	Monocytes	CD4.memory.resting	NK.cells.resting	B.naive	Neutrophils	Macrophages.M2	Plasma	CD8.cells	T.cells.CD4.naive	B.memory	NK.activated	Eosinophils	T.cells.regulatory	T.cells.helper	Macrophages.M0	Macrophages.M1	Mast.activated	Dendritic.cells.resting	Dendritic.cells.activated	Mast.resting
A2M	1	1	1	1	1	1	406.916717036161	1	1	1	1	1	112.96798485848	1	1	108.477444854031	1705.69474551672	1	157.093542633583	391.697057443191	1
AAAS	23.8513488475391	1	1	1	35.5698019062352	1	1	1	1	1	1	1	1	1	1	18.5107691217566	14.2717221896565	20.6143004393828	1	1	28.8370048615134
AARS	61.844689716598	22.1156207253274	1	31.5741363269485	1	1	28.6641005125634	90.0701168544563	1	25.3590636628172	1	29.1560381537796	1	31.3464170137985	39.574638148283	33.241215196915	61.7061485205758	45.1902423765475	40.1044840392664	24.8008339739628	69.7124304424835
AASDH	1	1	1	23.2626826379136	1	1	1	1	1	21.5316877117601	1	1	1	1	1	1	1	1	1	1	1
AATBC	1	18.0873436073086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AATK	1	1	1	1	1	111.352099309824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA1	1	49.7174716580114	1	1	62.0199270688414	89.3792083312369	302.362279752612	1	1	1	32.4450447420259	1	183.38176050903	1	1	165.737686302405	48.6728622378638	96.325148132093	59.113992704081	87.2211779889115	1
ABCA2	1	15.5732655625303	1	48.3563052144807	1	1	1	1	1	24.015166112752	1	42.2459219719932	1	1	28.4916573746935	1	1	1	1	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.8883944663755	1	1	1
ABCA5	28.0467581674064	1	1	38.8914020838963	1	1	1	21.7628286027172	1	38.3068743982309	1	1	48.5359729598537	1	1	1	1	23.4056241235041	1	1	1
ABCA7	1	1	1	30.762987097377	1	65.3668429795148	1	1	1	22.7594083256711	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	70.0265459493729	37.3713044345128	1	1	1	45.0404719505746	1	1	114.349089261297	1	1	33.2157665958152	1	1	1	1	1	1
ABCB8	27.0722931606936	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC4	1	1	1	1	1	1	1	33.2517928486338	1	1	1	1	25.1336996542781	1	1	1	50.1653138476292	72.0972745590353	28.7368004816656	33.7070548216152	38.3994002687337
ABCC5	176.760580190654	28.006714263341	1	29.7148948781071	1	1	58.3054727428873	1	1	1	1	1	1	1	1	80.0932531235043	23.886217167389	101.420624209952	1	1	138.438615647165
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	88.3912939376267	1	1	1	1
ABCD1	1	1	1	1	1	1	29.1979246613345	1	1	1	1	1	1	1	1	25.6373923655768	1	1	1	1	1
ABCD2	1	1	1	1	1	1	1	1	1	25.2968239524539	1	1	1	1	1	1	1	1	1	1	1
ABCD4	1	29.4483211575889	1	32.2711881502878	1	31.0984379409081	27.7742381394344	1	1	33.5141381710661	1	1	24.1339767585322	1	35.0549694925679	23.2849071758855	15.6969523858451	22.9465437173908	1	1	1
ABCF3	34.977336846354	1	1	1	1	1	1	1	1	1	1	27.9588292850979	1	1	1	1	1	1	1	1	100.353730408724
ABHD10	36.5359285158277	1	1	1	29.1691149778785	1	15.456478389536	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABHD12	28.7105543493981	36.7584606543373	1	25.2468417133645	1	1	201.219957629971	32.7625014881811	1	1	1	28.3713794384426	1	44.8727064250415	24.2201750640911	141.396283429236	12.0232749528098	38.9453112772415	71.4413991777992	74.1303016882867	79.8209361885764
ABHD14A	1	1	1	1	1	1	1	23.5048136713425	1	1	1	1	1	1	1	1	1	1	1	1	1
ABHD17C	62.2742156898547	27.9150213463256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	61.4265152793933	1	29.6252832255336	1
ABHD6	1	17.9721780795783	1	1	1	1	17.921599890868	1	1	1	1	1	1	1	1	24.0754110323461	43.1682594290192	1	23.962195593101	1	1
ABI3	1	49.1326422347714	1	184.693416182343	1	1	72.4993428237778	1	76.0915211176663	1	30.121024086685	99.7626680754055	31.3481154735722	24.2027323508733	42.9487361541342	43.8981311724472	1	1	96.2279451033179	40.283659062715	1
ABLIM1	137.598753703286	30.2777754917412	162.227753054861	100.803802055287	70.6373674002063	1	1	1	131.508373167605	194.092248803593	66.9006259948264	70.6981860603436	90.7518689082185	72.7623175822919	78.5963714045104	1	33.1272833799183	80.033791923645	1	43.0142459896273	132.765188656633
ABO	19.0385281862397	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.892020721857	1	1	22.7665708135046
ABRAXAS1	1	20.3853512865896	1	31.569815837276	30.7847634344403	1	16.0561102164927	1	26.9423688437922	41.3349736981061	1	28.7650591192543	1	1	1	1	1	20.9482179286175	1	1	1
ABTB1	1	34.4969942652917	1	33.1285351106457	28.7272476283913	415.869264157313	18.4720993893135	1	25.7639768547428	21.7818040242799	1	1	1	32.9169382796792	1	1	1	1	1	1	1
AC003102.1	1	1	1	21.5050399642481	1	1	1	1	1	34.7719236680284	1	1	1	1	1	1	1	1	1	1	1
AC003973.3	1	1	1	1	1	1	1	1	1	19.5006336591339	1	1	1	1	1	1	1	1	1	1	1
AC004656.1	1	1	1	1	1	1	1	1	1	18.5715707952016	1	1	1	1	1	1	1	1	1	1	1
AC004846.1	1	21.051518850579	1	23.593039497955	1	52.9869153425734	1	1	1	18.7576137564502	1	1	1	1	1	16.8628891161866	1	1	1	1	1
AC004847.1	1	16.9343907457437	1	46.9114609286464	1	1	1	1	1	20.8682060727784	1	1	1	42.5364903390795	1	1	1	1	1	1	1
AC004865.2	1	1	1	22.6784562010766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC004893.2	1	17.3747636688667	1	33.6596183279527	46.1701677436962	29.6388237330506	1	1	1	41.5241932243923	1	22.7188669840903	43.407548916842	1	1	1	1	21.3333081443697	1	1	1
AC004918.1	1	1	1	34.765569570036	1	1	1	1	1	1	1	1	1	1	1	1	1	22.8142125420015	1	1	1
AC004951.1	1	23.7303650097169	1	23.6800808083534	1	1	1	1	1	23.8827531000221	1	1	1	1	1	1	1	1	1	1	1
AC005072.1	1	16.7007298082842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC005089.1	1	19.6423102424854	1	21.181729693541	1	41.1356262007374	1	1	1	1	1	45.9821997945344	45.951509840515	1	1	1	1	1	1	1	1
AC005224.3	1	22.5915359783846	1	55.3931296190434	1	65.9005201409755	1	1	1	43.3702534724835	1	1	1	1	1	1	1	1	1	1	1
AC005253.1	1	27.3053805196699	1	32.8550591695531	23.092353851291	64.6155743820643	22.733302986137	1	30.6587474682885	14.9598474698172	30.4556057415229	1	17.9277471682971	1	1	16.5318718042842	1	18.8204796435539	20.9864283236945	1	1
AC005261.4	1	1	1	1	1	1	1	1	1	17.2402546481255	1	1	24.2675925758943	1	1	1	1	1	1	1	1
AC005332.7	1	1	1	24.7095622905636	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC005540.1	1	1	1	1	1	1	1	1	1	36.9709368073734	1	1	1	1	1	1	1	1	1	1	1
AC005614.1	1	25.0072910222086	1	56.3036533210301	1	1	1	1	1	67.267599389277	1	1	1	1	1	16.9258670925451	38.2909992591689	17.5560251901505	1	1	33.6424835139904
AC005618.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.4794421058649
AC005632.2	1	1	1	1	1	43.8787209808053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC005726.5	1	1	1	1	1	1	1	53.8317539696604	1	1	1	1	1	1	1	1	1	1	1	1	1
AC005833.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.9647668403488	1	1	1	1
AC005842.1	1	1	1	1	1	1	1	1	1	38.025791508208	1	1	1	1	1	1	1	1	1	1	1
AC006033.2	1	1	1	50.6026187239104	1	1	1	1	1	1	1	24.6548538113071	1	1	1	1	1	1	1	1	1
AC006141.1	1	16.5750942137134	1	1	27.6756243857774	30.6019000484088	1	1	1	16.6412731188179	1	1	1	1	1	1	1	1	1	1	1
AC006305.1	1	1	1	1	39.5255236142143	1	1	1	1	18.8810600529096	1	1	1	1	1	1	1	15.6755625357116	1	1	1
AC006372.4	1	1	1	1	1	1	1	1	1	1	1	28.3191143757401	1	1	1	1	1	1	1	1	1
AC006449.6	1	1	1	1	1	1	22.0869835651559	1	1	1	1	1	1	1	1	21.0189384096965	1	1	1	1	1
AC006538.1	1	1	1	1	1	1	1	1	1	1	1	20.9278085895095	1	1	1	1	1	1	1	1	1
AC007114.1	1	1	1	1	1	1	1	1	1	21.5044091872182	1	1	1	1	1	1	1	1	1	1	1
AC007114.2	1	1	1	27.9848322591595	1	1	1	1	1	23.7614183102003	1	1	1	1	1	1	1	1	1	1	1
AC007283.1	1	1	1	1	1	37.7957895660598	1	1	1	1	1	1	1	31.6298937360185	1	1	1	1	1	21.6861293960054	1
AC007382.1	1	1	1	26.7564647249432	1	1	1	1	1	29.3020497771479	1	1	1	1	1	1	1	1	1	1	1
AC007406.5	1	1	1	29.9075968058548	1	1	1	1	1	16.5017777218366	1	1	1	1	1	1	1	1	1	1	1
AC007485.2	1	1	1	1	1	1	1	1	1	1	1	41.5787559879543	1	1	1	1	1	1	1	1	1
AC007620.2	1	17.7103796769676	1	1	32.2483729506662	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC007950.2	1	1	1	1	1	1	1	1	1	21.0103862408259	1	1	1	1	1	1	1	1	1	1	1
AC007998.4	1	17.8473215812514	1	43.2286109825241	1	1	1	1	1	22.4500737212369	1	1	1	1	1	1	1	1	1	1	1
AC008124.1	1	1	1	52.6608983123886	32.3639299343725	1	1	1	30.5811886672187	37.0992662140873	1	73.5355861292681	1	42.7628998151997	1	1	44.7124264499135	18.7447618153848	1	1	18.4544339767652
AC008147.2	1	18.4075624731706	1	1	1	41.3200819952791	1	1	1	30.6703859120026	1	50.7101396024482	1	26.7748572024758	1	1	1	21.9754102589416	1	1	1
