"","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","B.cells_Subgroup.3.Iteration.1","B.cells_Subgroup.5.Iteration.1","B.cells_Subgroup.1.Iteration.2","B.cells_Subgroup.2.Iteration.2","B.cells_Subgroup.3.Iteration.2","DeconRNASeq_LM22_B.naive.cells","B.naive.cells_Subgroup.1.Iteration.1","B.memory.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_Macrophages.cells","CBSX_CBSX.HNSCC.scRNAseq_Macrophages.cells","CBSX_CBSX.Melanoma.scRNAseq_Macrophages.cells","DeconRNASeq_BPRNACanProMet_Macrophages.M0","Macrophages.M0_Subgroup.1.Iteration.1","Quantiseq_Macrophages.M1","DeconRNASeq_BPRNACanProMet_Macrophages.M1","DWLS_BPRNACanProMet_Macrophages.M1","Macrophages.M1_Subgroup.1.Iteration.1","Macrophages.M1_Subgroup.2.Iteration.1","Macrophages.M1_Subgroup.3.Iteration.1","Quantiseq_Macrophages.M2","DeconRNASeq_CCLE.TIL10_Macrophages.M2","Epidish_TIL10_Macrophages.M2","DWLS_TIL10_Macrophages.M2","CBSX_CCLE.TIL10_Macrophages.M2","CBSX_TIL10_Macrophages.M2","DeconRNASeq_LM22_Macrophages.M2","Macrophages.M2_Subgroup.1.Iteration.1","Macrophages.M2_Subgroup.2.Iteration.1","Macrophages.M2_Subgroup.3.Iteration.1","CBSX_TIL10_Monocytes","Monocytes_Subgroup.2.Iteration.1","Monocytes_Subgroup.3.Iteration.1","Monocytes_Subgroup.1.Iteration.2","Monocytes_Subgroup.2.Iteration.2","DeconRNASeq_BPRNACanProMet_Neutrophils","DWLS_BPRNACanProMet_Neutrophils","CBSX_CCLE.TIL10_Neutrophils","CBSX_TIL10_Neutrophils","Neutrophils_Subgroup.1.Iteration.1","Neutrophils_Subgroup.2.Iteration.1","Neutrophils_Subgroup.3.Iteration.1","DeconRNASeq_BPRNACan3DProMet_NK.cells","DeconRNASeq_CBSX.Melanoma.scRNAseq_NK.cells","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","DeconRNASeq_CCLE.TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","CBSX_TIL10_NK.cells","NK.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_NK.resting","Epidish_LM22_NK.resting","NK.resting_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","DeconRNASeq_CBSX.Melanoma.scRNAseq_CD4.cells","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","Epidish_CCLE.TIL10_CD4.cells","DWLS_BPRNACanProMet_CD4.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","CBSX_CCLE.TIL10_CD4.cells","CD4.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.activated","CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.resting","CD4.memory.resting_Subgroup.1.Iteration.1","DeconRNASeq_LM22_CD4.naive","CD4.naive_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACan_CD8.cells","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD8.cells","DeconRNASeq_TIL10_CD8.cells","DWLS_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_LM22_CD8.cells","CBSX_TIL10_CD8.cells","CD8.cells_Subgroup.1.Iteration.1","DeconRNASeq_CCLE.TIL10_T.cells.regulatory","DeconRNASeq_LM22_T.cells.regulatory","CBSX_TIL10_T.cells.regulatory","T.cells.regulatory_Subgroup.1.Iteration.3","DeconRNASeq_LM22_T.cells.helper","T.cells.helper_Subgroup.1.Iteration.1","T.cells.gamma.delta_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Dendritic.cells","CBSX_CBSX.HNSCC.scRNAseq_Dendritic.cells","CBSX_CCLE.TIL10_Dendritic.cells","CBSX_TIL10_Dendritic.cells","Dendritic.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Dendritic.activated.cells","Dendritic.activated.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Dendritic.resting.cells","Dendritic.resting.cells_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACanProMet_Cancer","DWLS_BPRNACanProMet_Cancer","DeconRNASeq_CBSX.Melanoma.scRNAseq_Cancer","Cancer_Subgroup.1.Iteration.1","Cancer_Subgroup.2.Iteration.1","Cancer_Subgroup.3.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_Endothelial","CBSX_CBSX.HNSCC.scRNAseq_Endothelial","Endothelial_Subgroup.2.Iteration.1","Endothelial_Subgroup.1.Iteration.2","DeconRNASeq_LM22_Eosinophils","DeconRNASeq_LM22_Plasma.cells","CBSX_LM22_Plasma.cells","Plasma_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Myocytes","DeconRNASeq_CBSX.HNSCC.scRNAseq_Mast.cells","Mast.activated.cells_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Mast.resting.cells","Epidish_LM22_Mast.resting.cells","Mast.resting.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_CAF","CBSX_CBSX.Melanoma.scRNAseq_CAF","CAF_Subgroup.1.Iteration.1"
"SAM7f0d9cc7f001",0.35740033594758,0.095895225553046,0.927060057633706,0.102195987390984,0.109071621382427,0.0727890053923619,0.222007985876902,0.0501943978738944,0.109216974670721,0.0905425669778718,0.0212009865371336,0.072098874420348,0.0184709826531942,0.0545062608327573,0.0242619666770981,0.129334941383852,0,0.35023591940278,0,0.291875753566466,0.04255419434694,0.0283086442291309,0.311006047211344,0.16526787734188,0.0396998452644633,0.168690982377401,0.0258256075940982,0.0931354426210409,0.131014893161598,0.0621896953314905,0.0732533219959394,0.0391003137681792,0.0462946848709432,0.0182933615146147,0.0131330672140903,0.0286990070384877,0.0168216802273735,0.0769386137540035,0.169414024796185,0.151144648239816,0.0336521421249492,0.257963061849176,0.120071804630594,0.0764617726478583,0.16985151481346,0.0603905292524195,0.0814650311998236,0,0,0,0,0,0.0287048443153942,0.032574774316112,0.133218343104666,0.0617705783975423,0,0.00790778688200211,0.0716183602751456,0.0562177641027085,0,0.0561206202864635,0,0.202604143927827,0.00089879543360074,0.180516996713827,0.00363888531183197,0.04970866664242,0.199015620057321,0.355957589753671,0.141231906026341,0.0774266945073139,0.0820923242381229,0.0796038918679843,0.06136648021883,0.0554408561008696,0,0.00247225607175879,0,0,0.0743265941358379,0,0.296765917264009,0.14306998793524,0,0.0257797309036399,0,0.0309884203991864,0.00388838713134767,0,0,0,0.142919238017568,0.0475800907603967,0,0,0.337292673001679,0.809134081011728,0.104482697796008,0.929964281185506,0.501930674015952,0.056079933328255,0.124741908854629,0.0582820439692918,0.0232426891935276,0.056865496256107,0.012325952857128,0,0,0,0.116421661646962,0.11366510243842,0.0154289939625431,0.120253980369884,0.00880365437144072,0.0224985962193811,0.436257467895441,0.644184075917855,0.497774228634023
"SAM4305ab968b90",0.394925885746541,0.116438744186661,0.733556285544424,0.10942856205697,0.116097437025124,0.00479618328523687,0.0814978628260184,0.0728719257488646,0,0.130162510018879,0,0.131310138333218,0,0.0783202290383054,0,0.137250925992701,0,0.0254897932684385,0.035700991541387,0,0.0235417119395243,0.0833403478735055,0.295874233438302,0.157468354377312,0.00877760169202307,0.0455231014502534,0,0.0918613043510105,0.0177358432281171,0.162770038435464,0.289488667984982,0,0.0717458148794142,0.000443120661545645,0.19794675271262,0.0291803945324971,0,0.0115691084815009,0.467736351782018,0.112244793743804,0.0168511137580575,0.687645311573268,0.120368720850363,0.101895308086843,0.167086397380556,0.0695860101823586,0.113596393113826,0,0,0.111356364179319,0.0127086688580396,0.0679623530516183,0.00425592540362998,0.070092049730412,0.141077171359088,0.205964508661913,0.014318571389231,0.0898187547594495,0.0789004789593247,0.0289165540592675,0,0.0238232551237638,0,0,0,0,0.022400879059637,0,0,0.353831897342207,0.0195115248996022,0.0632257526977325,0.0634349845787605,0.101685279946945,0.0828488006940766,0,0,0.0453167506321,0,0,0.135396434190807,0.0196549922820334,0.0194177974430421,0.00697998718008954,0.0838994965224856,0,0,0.0618473165835308,0.0182806849014906,0.00345097223015593,0,0.136639451068751,0.0348468137127501,0.0319235497520056,0.0503205423533335,0,0.353726992775377,0.946977162684856,0.171929432265253,0.988412011080854,0.908830034794488,0.334542514747992,0.1847181930772,0.27001371545327,0,0.0351998434203103,0.0427061168253744,0.14134689513725,0.015268182481047,0.0192120503304383,0.11759367377833,0.122429793922689,0,0.129081981359591,0,0.183686318991815,0.21595533340584,0.852870114289281,0.193435567756736
"SAMcf018fee2acd",0.388100981920033,0.101757865957114,0.864209696765557,0.103561323655729,0.104200195824619,0.0185325150956638,0.0825550806594465,0.025235539477341,0.0153724746417537,0.137029058500874,0.0554479155472955,0.211672836620613,0.0176429522140612,0.136146936367288,0,0.12699817506154,0,0.280100459801933,0.0162869691029316,0.112591737451937,0.0987076719983699,0.0845115071323126,0.0863524603997609,0.394722851855979,0.12019359399161,0.105532393558266,0.0274645286848042,0.095113722649812,0.14740844752299,0.156751153532248,0.314219526107418,0.40739455945732,0.0479113163839711,0.0335427060357723,0.0959793834270509,0.0347695578013498,0.00647189384929495,0.0451588210408147,0.306580514798079,0.139694365713089,0.0069647628769874,0.112373813470136,0.116439969256628,0.0879714222070468,0.173264766006735,0.0450806090162809,0.0681555969429532,0,0,0,0.0175604788175318,0,0,0.00180502972936727,0.113418088466504,0.100817277213028,0,0.0537357875342455,0.0756760666220619,0.0269212093284918,0,0.0228832611734713,0,0.0784035069744662,0,0.124776447663082,0.0311230982502924,0.0110844809883619,0.130480231468331,0.480854138322039,0.0878903272560993,0,0.0766107796838894,0.0636697226532067,0.0634373647745317,0.016200670130093,0,0.0227771084552387,0.00541482926415689,0,0.0809314355229423,0,0.155660998820142,0.0259251268595008,0,0.00462579676599649,0,0.0309084419899915,0,0,0,0,0.159240292050104,0.0676575847793726,0.0413273354575229,0,0.346270836992134,0.89885512408332,0.151274074493997,0.957586281450767,0.459552361861042,0.0853527544116694,0.167299726954683,0.0600652707786149,0.0543959527087165,0.064056535537327,0.0101255374283347,0.0809785461583374,0,0,0.0965680290019321,0.108992002923708,0.0051113187919627,0.0907186563829767,0.0243759303041515,0.0138282619731363,0.278991785264223,0.603689177861272,0.402414999907871
"SAMcc4675f394a1",0.32503391610723,0.0904847992268647,0.740315797287248,0.0491810284066839,0.134849738235395,0.0063041098454476,0.111963806065919,0,0,0.0952663863834282,0.0507882837163123,0.0909077899161458,0.0166312034260582,0.151449158604452,0.00584982577039157,0.117467782544438,0.00318272312000733,0.341521843781894,0.0208124356872327,0.306076055413161,0.033669047278949,0.016495985232827,0.0871627425473357,0,0.0144092585899637,0.0839319417421802,0.081372075625785,0.0869426393222739,0.0394084569557227,0.0641397247317119,0.0590536149965274,0,0.162881851906624,0.0242484158778829,0.128021629702641,0.109427120360812,0,0.224168397000917,0.146515862470851,0.111734718098484,0.00312350312815136,0.56210508768839,0.0803756302083609,0.090192465179796,0.19621097756142,0.0870226986668066,0.106016002559116,0,0,0.0138383612660818,0,0.0260583123079813,0.0281608324192331,0.0660779357425898,0.136263207159382,0.163707619196733,0,0,0.0717372607936016,0.0472016292007869,0.039833135712129,0,0,0,0.0243766782945352,0.0300380620930275,0.0328881485969315,0.00191454058331805,0.0366796500448594,0.35051251019445,0.120801596161265,0.110382148937265,0.0331222727361883,0.0925254085910553,0.0910480190137258,0.118790173045701,0.201898164928244,0,0.0134447829539724,0,0.0923465802390058,0,0.0957046331923795,0.000397423919570642,0,0,0,0.0435898554476078,0,0,0,0,0.0721665703687022,0,0.0547225977362753,0.00313042536602106,0.391773684079609,0.976297555795001,0.128880947497565,0.987056722679092,0.558272486323031,0.0768862984581564,0.207070962464267,0.0174506475520493,0.0512101064893592,0.0277066893143449,0,0.080279832561661,0.00745906745328286,0.00840804828735698,0.129708828793433,0.130209623304322,0,0.11095914881676,0.00189308818591758,0.00968940570571575,0.316367178454477,0.820956444938979,0.52484783415904
"SAM49f9b2e57aa5",0.359232930915569,0.14838878149184,0.829027803853683,0.0949015546400843,0.131967738011945,0.0339295620874768,0.190816585866111,0.17770542241726,0.0144903959951465,0.0767983582158608,0.0247656249391676,0.11259995400297,0.0160816737732188,0.0812692310667043,0,0.116278313279396,0,0.0555748605307663,0.0283870096395996,0,0.0129239993810651,0.0689232067193347,0.0233372683175984,0.00142605970935079,0.0398416228618213,0.43019250575469,0,0.0839929782365415,0.00517481351237744,0.0466715121420241,0,0.232192688585357,0.0581581800603161,0.00951118425680882,0.0883998383145175,0.017206970137775,0.000525267362037322,0.0384624566540878,0.334774949120964,0.12516717354946,0.0221595684071044,0.39931246548748,0.102937683808371,0.0940903816851959,0.168983751444026,0.0727863168725695,0.101468117164194,0,0,0,0.0022809552029092,0.00481537644678548,0.0370733548852485,0.0126548630012357,0.149680350737288,0.186930827676091,0,0,0.0736913064825591,0.0398301910297881,0,0.0204001844020378,0,0,0.00111995874267702,0.112410551098768,0.0453196775030689,0.0335006693972413,0,0.248767780953478,0.159060237808931,0.294085452927989,0.0727614729009037,0.0529251367491715,0.0879339592226318,0,0.127981477091033,0,0,0,0.137456096865573,0,0.235032545124346,0.00620424412554018,0.0625677278612559,0,0,0.0375578956663482,0,0.0286505766732397,0,0.000982006520111605,0.0253745714573512,0,0.0421317483728143,0.019955412918298,0.418930671226358,0.927361048637643,0.157573991370434,0.97209835723654,0.853082847417641,0.149640698240493,0.163943120412138,0,0.00334239331426848,0.0267563793853691,0.00906549881534951,0.0697054429605355,0.024239222753359,0,0.0976262323994627,0.10897705688249,0,0.10307725665591,0,0.0279533982424491,0.285514060341971,0.667483934504015,0.377428292905557
"SAM2e7aa8fa0ab3",0.384279833041914,0.215358762750667,0.714970878007846,0.0923826086110804,0.114190161802324,0.00533181542605483,0.144242390943812,0.032394940106522,0,0.0491892299236812,0.0216509309334681,0.0811122311922787,0,0.0943915704598351,0,0.132360785433712,0,0.111990822236248,0.0620262478111637,0.462203831551277,0.0178134783985179,0.062405854189318,0.111160814792873,0.0185815155367191,0.0550737675733493,0.241805978236663,0.00487107114862645,0.088149446188539,0.0196099917576029,0.0596479643217303,0,0,0.0826096295932445,0.0135964132660561,0.0762294943124507,0.0339202540924319,0.00311024989532781,0.0626686319146126,0.117324708767855,0.308720744956574,0.007384196168756,0.379312396986824,0.114645574551013,0.0823810440308552,0.160983371256747,0.06259406458286,0.0975729847547728,0.11880604775352,0.0283454296261596,0.0242111359937846,0.0771094388443946,0.0271793156508845,0,0,0.142469452022433,0.054308218529073,0,0,0.0523741749551207,0.0117921297288449,0.0253160921938345,0.0144304653467422,0,0,0,0.0611946584613424,0.0420389726860034,0,0.0423873876448682,0.441797443117625,0.0620111449575744,0.0653325416654115,0.069408446110045,0.0785502672056218,0.0825994667146385,0.0503201087263405,0.330273472636222,0,0.0132484985257654,0,0.0634976523323272,0.0309371118437662,0.12162845171458,0.0196797505829879,0.0177286117485157,0,0,0.0355708752731783,0,0.0844147372152559,0.309753599071875,0,0.0621555822626102,0.00819489351992445,0.0474290129461359,0,0.379614554998378,0.954677979492934,0.106190131074577,0.987167285108495,0.626441021275756,0.110849638417049,0.116861745359394,0,0,0.0129182630625497,0.0508810638607204,0.0944001053057131,0.0149916128424021,0.0295357316449636,0.109321171462994,0.115309611182315,0.0113188213545597,0.102313989572736,0,0,0.434662078303378,0.848556376915902,0.369576442513241
"SAMdf3e42c8672a",0.35783496006469,0.116839787119237,0.350165260156247,0.0916994813779247,0.0891524034983541,0.0108010435465684,0.0764740254712451,0.0331465263191201,0,0.035932220029213,0.0140842315853131,0.0822369865191437,0,0.161976896631195,0.0133484846595088,0.137993719943502,0.0303032752869471,0.118573922762992,0.0549981311239464,0.376163763553374,0.0107701921218855,0.02695803355641,0,0,0.00062084239584684,0,0.00684730042794193,0.122597910730259,0.0007592011674483,0.0601679135291694,0.512125230271312,0.200812962232543,0.0166657976919256,0.00584572164620224,0.506694537591416,0.0288243557085157,0.00938374028400824,0.00617844672810313,0.0875665484058138,0.0993626378095109,0.00695641255227305,0.0958512958708472,0.117275464084816,0.0858961743582097,0.134472874631552,0.0579309156520547,0.0576760956222368,0,0,0,0.0281285587735441,0,0.0345709399463531,0.0316571185507586,0.146930213009916,0.136666363823455,0.0331256755640335,0.115699143979006,0.0510984442797454,0.0304803160362606,0.0102805130265199,0.0202130679574781,0.0296326868779366,0.256066051266058,0,0.0331659357516305,0.0971683625094812,0.0860396317282773,0.106581351832732,0.320882855231484,0.0981147853333763,0,0.0839695230966544,0.0572584057474047,0.0662634260409124,0.0037912295611445,0,0,0,0,0.0663586005814465,0,0.0903885267631568,0.0289596521359862,8.0504769649957e-05,0.019658781837622,0,0.0202030132171587,0,0,0,0,0.0810592730721599,0.0257387435074896,0.085420140459788,0,0.369978257587851,0.840755363637422,0.103692283905616,0.96660462811088,0.876782521577077,0.716925190048002,0.1146684585486,0,0,0.00350232142004045,0,0.0785912998204912,0.00381637510139149,0.00404913110738532,0.0774292135146265,0.079192443275808,0.112791844816336,0,0,0,0.437128612636526,0.828301484898379,0.0486250664578294
"SAMd027124354ce",0.332835230965786,0.0938060780109604,0.435442897954565,0.0578074766853927,0.115879687818328,0.00469207817787552,0.00153754675322659,0.0397530188042897,0,0.0754624924754246,0.0445509990459383,0.0558008294674069,0,0.567196627575866,0,0.14698260599906,0.157887029270043,0.0771650757999133,0.0359744004708942,0.111477799403416,0.00826549577054079,0.0526070338265307,0.280511627641399,0.394962500970788,0.0284969762312403,0,0.0282178075268735,0.128651663815621,0.0274298789103648,0.124639520975468,0.629229009752941,0.037410243890857,0,0.00192608540026989,0.427683537144986,0,0.00221691153805186,0,0.299054777631788,0.202401034948968,0,0.147861170680746,0.0750891941056257,0.0731822054972068,0.190540193095424,0.0702593758133458,0.116097557208009,0.0513694811489109,0.0974791113299623,0,0.0131271112143437,0.00774876940609445,0,0,0.127177485342995,0.0346543506252795,0,0,0.0565773899164815,0.0244379449859932,0.0440239062271646,0.0171628722178821,0,0,0.0422117406632433,0,0,0,0,0.0562522508049199,0,0,0.0535426650343851,0.0960832280650679,0.0991570210600141,0.00723004638392689,0.216627251641095,0,0.00822978320723257,0,0.0633565793698716,0,0,0.000137208500486394,0.225105629698025,0.093720421799172,0.0416814392645282,0.0480290792331936,0.00549793549126318,0,0,0,0,0,0,0,0.458110746597182,0.711482905334389,0.0951086074309459,0.956155541248981,0.889346794039944,0.278726202465988,0.108267965472227,0.00303083154407475,0,0.0138726781985212,0,0.0829590871771812,0.00600959793311623,0.00709959952046548,0.122121336231363,0.127603915447334,0.040591721883934,0.0224538516929357,0,0,0.483975560972655,0.944199170532593,0.383932550877216
"SAMe7bf6c015192",0.405214413925996,0.134030445227199,0.825125878383638,0.0922474261354315,0.101363548942858,0.0260705072613878,0.13337263519129,0,0.046137808354152,0.0994941491897668,0.0796586865995357,0.158979362595976,0,0.0246454155653945,0.0188676983018642,0.131038304410542,0,0.30776674699717,0.0393849700270864,0.502053285105161,0.0287818524980469,0,0.0879394144210729,0.0603769774878166,0.0922502793736471,0.066902708991941,0.115081168969029,0.0848562459621462,0.0337036271491551,0.088746461112663,0.145836804438339,0.076484867740851,0.0585981060673941,0.0295026913214442,0,0.0239116524201652,0.0112332165785868,0.0500285475237629,0.0798672052970859,0.11081870621616,0.0122289227007443,0.157423864538946,0.110665783999039,0.088822502871719,0.159808967206099,0.0607590104421982,0.0860394347174975,0,0,0,0.100930139711733,0.0256631458880961,0,0,0.110701203599355,0.0705919558887509,0.101609084570452,0.0771690229675459,0.0691160386174323,0.00440498706657864,0,0.00168849573071058,0.0516012204109983,0.128360843607787,0,0.148934430025204,0.0709220450559647,0.0304813183235029,0.161975944324122,0.457768460727018,0.0622020313919753,0.00787407903697215,0.0821346616969529,0.0540540678846968,0.0661850243497999,0,0,0,0,0.0161089845916375,0.0747592616941253,0,0.205339996167473,0.113137694789393,0,0.0088472001288612,0,0.0160506000442634,0,0.0608885286470131,0,0.00365628093017114,0.121437487155737,0.0580107087894878,0.0720764501543063,0.015553197436611,0.376514226930666,0.891993910448908,0.121280172673603,0.948740218446663,0.61839157198483,0.341978944606965,0.141515836525957,0,0.00297555805571631,0.00726539828141142,0,0.0237686212925547,0.0125302966531622,0,0.0696975845949723,0.0816902927051948,0.00451416279929231,0.0646596836328229,0.0139527781389955,0.0102537150229356,0.345740854894323,0.62180616065889,0.272525971852829
"SAM6dd7ad1d797d",0.401409283916917,0.115227923147713,0.882883980240427,0.0523700058398559,0.0874699037721531,0.0079243209633381,0.0297567102581766,0.0590470561436055,0,0.0602142194362942,0.167583343926191,0.130157227057243,0,0.107437840121994,0.0484796927837777,0.11381300197028,0.0318558783664356,0.292023690026308,0.0224930526081718,0.526756683762222,0.0269485342468054,0,0.205774674989039,0.189626119462288,0.0268335830472854,0.214191429371144,0.0674078481965772,0.074392534590029,0.0712676681796208,0.215506223815424,0.0163446051920267,0,0.008865839807585,0.053951226083904,0.0969382909553488,0.0241142554636748,0.0538634566453055,0.0776282179013797,0.14867240197921,0.150857418963071,0.0548379078919177,0.205270208120752,0.0859360489508809,0.0629487924416928,0.183766493359027,0.0560716130063741,0.0641392590223622,0,0,0,0.0540411634186673,0,0,0,0.108805994030539,0.0460946014412558,0,0,0.0451654271719066,0.0260064234604869,0,0.0334190913613172,0,0,0.0581245361385941,0.0434940152613275,0,0.000424906096053725,0.0905512918301998,0.151635943211933,0.093523830002087,0.00369786377070327,0.0184029255053172,0.0839760885062404,0.055814163763214,0.0548678616228273,0.0738973480722703,0,0,0.00834935242160385,0.0676506782096195,0,0.0773440455921018,0.0553286256860995,0,0.0190261396946632,0,0.0362746441271364,0,0.00465799526948307,0,0,0.114521033261719,0.0357069805460361,0.165657590825375,0.0056640876719369,0.510392223018107,0.783220159298425,0.0709248675758877,0.940121695578322,0.630996305902924,0.215512394373824,0.0915128871034095,0,0.000165426726069267,0.0133877681569789,0,0.0264727631037225,0.0249801033177213,0.0144137580591548,0.10992658311175,0.115653968278808,0.217093065341583,0,0,0,0.541400315031924,0.759279353715626,0.34487648942707
